,PM2.5,PM10,NO,NO2,NH3,CO,SO2,O3,AQI,kfold
29003,53.06,123.32,22.34,59.64,11.4,22.34,70.8,41.7,475.0,4
29004,40.07,79.2,7.15,11.91,29.08,0.67,6.47,8.12,80.0,4
29005,23.67,44.23,1.58,4.99,7.93,0.66,18.8,29.32,108.0,4
29006,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29007,49.1,74.88,2.17,12.98,17.4,0.44,17.74,49.28,77.0,4
29008,20.08,45.27,2.08,12.48,7.7,0.35,3.65,19.24,46.0,4
29009,24.21,56.88,12.13,19.64,59.45,0.63,8.1,13.73,86.0,4
29010,168.16,239.73,45.29,46.49,53.2,1.31,15.29,62.16,310.0,4
29011,92.93,189.34,47.7,3.08,1.0,1.39,3.69,18.47,227.0,4
29012,35.95,85.88,2.85,16.26,18.53,0.15,16.82,85.3,79.33333333333333,4
29013,17.213333333333335,36.419999999999995,1.3433333333333335,5.236666666666667,6.593333333333334,0.0,14.363333333333335,29.496666666666666,46.333333333333336,4
29014,27.29,54.56,10.47,30.86,26.64,0.57,4.2,22.7,71.0,4
29015,25.55,74.65,28.53,41.9,20.6,0.89,7.22,18.67,79.0,4
29016,51.7,101.89,18.18,16.52,27.05,0.49,66.34,25.88,106.0,4
29017,77.94,235.99,13.35,52.07,33.95,0.23,30.86,41.49,192.0,4
29018,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29019,51.15,106.42,6.6,13.63,35.98,0.64,8.39,9.66,109.0,4
29020,271.85,57.24666666666667,16.39,15.28,7.566666666666666,16.39,33.31,41.24,721.0,4
29021,26.23,99.86,53.5,24.73,34.20333333333333,1.94,24.2,22.74,100.0,4
29022,74.69,181.3,7.04,38.28,20.42,0.96,10.36,77.81,185.0,4
29023,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29024,52.86,80.28666666666668,24.63,67.25,6.56,0.83,38.31,51.68,104.0,4
29025,108.36,231.82,45.69,28.0,9.283333333333333,1.53,10.37,33.78,241.0,4
29026,82.55,62.026666666666664,8.0,22.69,28.0,0.97,5.03,56.29,151.0,4
29027,25.53,20.853333333333335,2.54,9.57,9.913333333333334,0.0,3.4,28.81,59.0,4
29028,51.5,82.16333333333334,12.26,52.88,7.716666666666666,12.26,29.79,38.45,296.0,4
29029,29.113333333333333,56.75,8.556666666666667,24.62,27.83,2.9,19.936666666666667,10.62,117.66666666666667,4
29030,74.16,128.7,18.61,11.48,12.04,0.46,8.99,39.2,121.0,4
29031,46.89,154.0,4.0,8.97,3.05,0.57,7.86,36.5,140.0,4
29032,29.96,62.29,0.89,4.54,2.73,0.89,1.98,54.35,68.0,4
29033,41.02,66.92,9.64,12.87,61.87,0.56,7.49,37.08,80.0,4
29034,78.60666666666667,23.6,2.62,12.82,8.093333333333334,0.41,2.02,38.806666666666665,23.0,4
29035,206.24666666666667,114.39,30.950000000000003,23.013333333333332,8.133333333333333,2.58,33.22,2.41,370.0,4
29036,232.81,179.89,31.19,56.29,53.29,1.25,8.32,26.44,414.0,4
29037,44.1,81.74333333333333,6.67,9.6,9.913333333333334,0.0,4.42,18.06,65.0,4
29038,94.81,88.87,9.74,30.64,9.459999999999999,1.38,9.08,64.91,224.0,4
29039,49.86,121.32,10.09,60.23,20.36,0.92,20.36,39.46,108.0,4
29040,16.73,19.83,59.54666666666666,18.03,9.03,0.95,6.01,27.28,48.0,4
29041,36.9,69.59,17.08,14.85,19.26,17.08,4.73,54.01,302.0,4
29042,65.29,159.02,5.4,18.31,10.42,3.3,13.13,31.11,155.0,4
29043,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29044,22.29,61.44,5.68,13.96,9.85,0.36,9.63,22.08,68.0,4
29045,23.19,23.786666666666665,12.7,27.47,50.25,1.1,5.67,23.89,70.0,4
29046,108.92,133.21333333333334,30.7,273.39,21.099999999999998,30.7,113.34,59.23,595.0,4
29047,94.04333333333334,144.66,9.83,12.97,56.06,1.43,7.84,31.32,182.33333333333334,4
29048,71.11,148.87,24.83,48.79,42.26,1.84,10.77,56.32,204.0,4
29049,8.4,21.46,11.11,30.36,2.7,0.57,14.32,26.69,68.0,4
29050,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29051,67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,166.4635814889336,4
29052,30.77,89.68,28.77,42.96,7.16,0.75,6.5,26.63,74.0,4
29053,12.01,28.41,7.47,13.82,6.44,0.64,11.34,25.6,45.0,4
29054,19.09,94.4,4.36,5.67,30.73,0.38,16.16,57.07,107.0,4
29055,24.82,21.673333333333336,6.65,10.82,15.079999999999998,0.67,6.46,14.44,93.0,4
29056,26.11,69.28,3.38,26.65,12.52,0.78,6.26,49.07,83.0,4
29057,62.65,114.92,5.01,10.2,10.39,0.78,10.16,37.85,147.0,4
29058,31.58,74.28,9.36,8.53,78.49,2.23,8.76,4.27,105.0,4
29059,345.73,1.3399999999999999,51.42,37.92,22.873333333333335,2.25,7.19,12.02,453.0,4
